,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
197,198,GEF,"Greif, Inc.",Consumer Cyclical,Packaging & Containers,USA,2.94B,12.24,60.62,-0.33%,100293,198,4.00%,0.12%,0.18%,34.23%,68.02%,29.31%,2.11%,2.27%,2.40,161.44K,0.62,60.62,-0.33%,100293
198,199,AVA,Avista Corporation,Utilities,Utilities - Diversified,USA,2.93B,19.85,42.83,-1.20%,426346,199,-0.81%,0.37%,-6.93%,14.27%,14.79%,6.70%,1.82%,1.78%,3.20,351.22K,1.21,42.83,-1.20%,426346
199,200,ENR,"Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,2.92B,133.49,42.85,0.21%,638721,200,5.41%,-0.30%,-13.08%,-2.26%,-14.51%,1.59%,2.03%,2.17%,2.40,681.28K,0.94,42.85,0.21%,638721
200,201,SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,USA,2.90B,10.45,24.58,-1.48%,2790831,201,-0.65%,-1.09%,-4.02%,8.52%,-7.25%,22.29%,2.77%,2.62%,2.80,2.27M,1.23,24.58,-1.48%,2790831
201,202,BMI,"Badger Meter, Inc.",Industrials,Electrical Equipment & Parts,USA,2.89B,53.09,101.03,1.03%,138913,202,1.29%,2.97%,8.18%,10.16%,58.55%,7.41%,1.86%,2.30%,2.90,137.31K,1.01,101.03,1.03%,138913
202,203,FORM,"FormFactor, Inc.",Technology,Semiconductors,USA,2.87B,36.00,37.26,3.24%,446791,203,2.59%,2.19%,-4.83%,-8.83%,20.78%,-13.39%,4.63%,3.63%,1.90,511.25K,0.87,37.26,3.24%,446791
203,204,MGEE,"MGE Energy, Inc.",Utilities,Utilities - Diversified,USA,2.78B,27.78,78.12,-0.24%,81500,204,1.45%,4.94%,4.42%,22.68%,17.07%,11.55%,1.63%,1.77%,3.50,82.17K,0.99,78.12,-0.24%,81500
204,205,VRNT,Verint Systems Inc.,Technology,Software - Infrastructure,USA,2.77B,-,42.67,0.14%,585694,205,0.47%,-5.33%,-12.15%,13.48%,88.19%,24.71%,1.30%,1.58%,1.60,835.39K,0.70,42.67,0.14%,585694
205,206,BRC,Brady Corporation,Industrials,Security & Protection Services,USA,2.77B,22.28,54.68,0.81%,865685,206,0.83%,-2.43%,0.20%,19.10%,19.05%,3.52%,1.61%,2.08%,2.00,197.93K,4.37,54.68,0.81%,865685
206,207,SJI,"South Jersey Industries, Inc.",Utilities,Utilities - Diversified,USA,2.77B,13.84,25.17,-0.98%,4600782,207,-1.53%,-2.93%,1.70%,8.96%,7.20%,16.80%,2.48%,2.13%,2.10,1.33M,3.47,25.17,-0.98%,4600782
207,208,JKS,"JinkoSolar Holding Co., Ltd.",Technology,Solar,China,2.76B,135.74,53.89,1.78%,1017771,208,-5.04%,-3.80%,45.81%,-13.07%,177.35%,-12.90%,11.34%,9.08%,2.80,2.34M,0.44,53.89,1.78%,1017771
208,209,PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,USA,2.73B,28.02,89.74,1.58%,104580,209,3.16%,-1.40%,6.78%,-4.41%,36.72%,-1.48%,1.74%,2.20%,3.00,87.20K,1.20,89.74,1.58%,104580
