,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
35,36,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,1.46B,41.44,52.01,-7.16%,1122165,36,-11.91%,-10.94%,-26.48%,8.69%,-28.01%,-26.34%,4.92%,3.54%,2.30,316.29K,3.55,52.01,-7.16%,1122165
36,37,ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,USA,1.22B,36.91,21.15,-0.19%,248613,37,2.57%,-7.16%,-0.24%,52.82%,168.74%,55.06%,2.55%,3.85%,1.70,467.61K,0.53,21.15,-0.19%,248613
37,38,ESCA,"Escalade, Incorporated",Consumer Cyclical,Leisure,USA,315.30M,10.94,22.70,0.09%,20530,38,-3.81%,-1.09%,3.09%,8.87%,44.86%,7.23%,3.26%,2.76%,-,33.50K,0.61,22.70,0.09%,20530
38,39,FANH,Fanhua Inc.,Financial,Insurance Brokers,China,740.38M,13.05,13.59,-1.45%,29080,39,-11.06%,-10.00%,1.80%,-15.54%,-32.15%,12.87%,7.60%,3.80%,3.00,97.05K,0.30,13.59,-1.45%,29080
39,40,GHG,GreenTree Hospitality Group Ltd.,Consumer Cyclical,Lodging,China,964.54M,17.34,8.95,-4.38%,102665,40,-11.91%,-18.78%,-28.74%,-30.73%,-28.91%,-33.21%,8.25%,5.10%,1.80,199.92K,0.51,8.95,-4.38%,102665
40,41,GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,Israel,589.92M,14.09,10.48,0.38%,377747,41,6.83%,2.95%,4.28%,-8.23%,87.48%,60.74%,4.67%,4.77%,-,587.82K,0.64,10.48,0.38%,377747
41,42,GOGO,Gogo Inc.,Communication Services,Telecom Services,USA,1.12B,-,10.37,1.57%,3423735,42,0.39%,-8.88%,-0.48%,-22.61%,203.22%,7.68%,4.27%,4.65%,2.60,1.56M,2.19,10.37,1.57%,3423735
42,43,GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery,USA,922.94M,32.59,35.69,1.05%,34368,43,2.00%,3.63%,3.39%,13.30%,15.50%,9.98%,1.54%,1.83%,1.00,70.43K,0.49,35.69,1.05%,34368
43,44,GSS,Golden Star Resources Ltd.,Basic Materials,Gold,Canada,385.10M,-,2.65,1.15%,1439483,44,26.79%,-6.36%,-22.74%,-29.52%,-39.22%,-28.57%,11.31%,6.67%,2.00,704.29K,2.04,2.65,1.15%,1439483
44,45,HCCI,"Heritage-Crystal Clean, Inc",Industrials,Waste Management,USA,675.19M,19.72,28.18,1.08%,70121,45,3.30%,-5.05%,-1.88%,29.86%,103.32%,33.74%,3.91%,3.57%,1.40,54.63K,1.28,28.18,1.08%,70121
